area,months,year,unit,value,temp_categoria,source,processed_at
Bolivia (Plurinational State of),January,1961,°C,0.3345,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),February,1961,°C,0.18616666666666667,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),March,1961,°C,0.42816666666666664,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),April,1961,°C,0.6126666666666667,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),May,1961,°C,0.7448333333333333,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),June,1961,°C,-0.11366666666666664,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),July,1961,°C,0.1895,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),August,1961,°C,0.5645,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),September,1961,°C,0.4088333333333333,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),October,1961,°C,0.4713333333333333,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),November,1961,°C,0.33349999999999996,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),December,1961,°C,0.15783333333333333,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),January,1962,°C,0.2866666666666667,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),February,1962,°C,0.4478333333333333,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),March,1962,°C,0.11399999999999999,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),April,1962,°C,0.17833333333333334,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),May,1962,°C,0.12033333333333333,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),June,1962,°C,-0.331,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),July,1962,°C,-0.462,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),August,1962,°C,0.09166666666666667,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),September,1962,°C,0.9378333333333333,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),October,1962,°C,0.327,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),November,1962,°C,0.8186666666666667,frío,csv_historical,2025-10-05 22:05:30
Bolivia (Plurinational State of),December,1962,°C,0.13699999999999998,frío,csv_historical,2025-10-05 22:05:30
